"Downloaded on",01/17/2026,"05:10:09 EST"
"Search URL",https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=119&congresses%5B1%5D=118&congresses%5B2%5D=117&congresses%5B3%5D=116&congresses%5B4%5D=115&congresses%5B5%5D=114&congresses%5B6%5D=113&congresses%5B7%5D=112&congresses%5B8%5D=111&congresses%5B9%5D=110&congresses%5B10%5D=109&congresses%5B11%5D=108&congresses%5B12%5D=107&congresses%5B13%5D=106&congresses%5B14%5D=105&congresses%5B15%5D=104&legislationNumbers=&restrictionType=field&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&legislationTypes%5B1%5D=hres&legislationTypes%5B2%5D=hjres&legislationTypes%5B3%5D=hconres&legislationTypes%5B4%5D=hamdt&legislationTypes%5B5%5D=s&legislationTypes%5B6%5D=sres&legislationTypes%5B7%5D=sjres&legislationTypes%5B8%5D=sconres&legislationTypes%5B9%5D=samdt&public=true&private=true&actionTerms=&legislativeActionWordVariants=true&actionDateBoxCount=2&actionText=&actionText2=&dateOfActionToggle=multi&legislativeAction=141&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypeBool=OR&dateOfSponsorshipOperator=equal&dateOfSponsorshipStartDate=&dateOfSponsorshipEndDate=&dateOfSponsorshipIsOptions=yesterday&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=23&committeeActivity%5B4%5D=12&committeeActivity%5B5%5D=4&committeeActivity%5B6%5D=2&committeeActivity%5B7%5D=5&committeeActivity%5B8%5D=9&satellite=%5B%5D&search=&submitted=Submitted&q=%7B%22subject%22%3A%22Environmental+Protection%22%2C%22congress%22%3A%5B%22112%22%2C%22113%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%5D%2C%22source%22%3A%22all%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date","Latest Tracker Stage",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",billPolicyArea,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,billSubjectTerm,"Latest Summary"
"H.R. 5861",https://www.congress.gov/bill/113th-congress/house-bill/5861,"113th Congress (2013-2014)","Guarding Our Great Lakes Act","Camp, Dave [Rep.-R-MI-4]",Republican,12/11/2014,"House - Transportation and Infrastructure, Natural Resources","Referred to the Subcommittee on Water and Power.",12/22/2014,Introduced,"Benishek, Dan [Rep.-R-MI-1]","Huizenga, Bill [Rep.-R-MI-2]","Upton, Fred [Rep.-R-MI-6]","Walberg, Tim [Rep.-R-MI-7]","Miller, Candice S. [Rep.-R-MI-10]","Dingell, John D. [Rep.-D-MI-12]","Peters, Gary C. [Rep.-D-MI-14]","Slaughter, Louise McIntosh [Rep.-D-NY-25]","Higgins, Brian [Rep.-D-NY-26]","Kelly, Mike [Rep.-R-PA-3]","Thompson, Glenn [Rep.-R-PA-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"Environmental Protection","Aquatic ecology","Dams and canals",Fishes,"Great Lakes",Illinois,Indiana,"Lakes and rivers","Marine and inland water transportation",Michigan,Minnesota,"Mississippi River","New York State",Ohio,Pennsylvania,"Water quality","Water resources funding","Water storage",Watersheds,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Guarding Our Great Lakes Act - Requires the Chief of Engineers, the Director of the U.S. Fish and Wildlife Service (USFWS), the Director of the U.S. Geological Survey (USGS), the Administrator of the Environmental Protection Agency (EPA), and each other applicable federal agency to take actions to prevent the transfer of aquatic invasive species, with a focus on Asian carp species, through the Brandon Road Lock and Dam on the Illinois River. </p> <p>Directs the Chief to: (1) construct measures to prevent the upstream transfer of swimming aquatic invasive species through the Lock and Dam; and (2) submit a cost estimate for, and schedule for completion of, measures to be constructed.</p> <p>Requires the Director of the USFWS to implement all appropriate measures in compliance with applicable state and federal law around the Lock and Dam to prevent the upstream and downstream transfer of swimming and floating aquatic invasive species, with a focus on Asian carp species.</p> <p>Authorizes the Chief, the Director of the USFWS, and the Director of the USGS to acquire real estate to carry out this Act. </p> <p>Directs the EPA Administrator, acting through the Great Lakes Interagency Task Force, to coordinate with the governor of Illinois, the city of Chicago, and the Metropolitan Water Reclamation District of Greater Chicago to carry out engineering and construction of flood mitigation and water quality measures on the Chicago Area Waterway System related to permanent prevention of the transfer of aquatic nuisance species between the Great Lakes and Mississippi River basins. Permits the federal share of the cost of a project to be up to 100%.</p>"
"H.R. 5826",https://www.congress.gov/bill/113th-congress/house-bill/5826,"113th Congress (2013-2014)","Water Quality Investment Act of 2014","Pascrell, Bill, Jr. [Rep.-D-NJ-9]",Democratic,12/10/2014,"House - Transportation and Infrastructure","Referred to the Subcommittee on Water Resources and Environment.",12/11/2014,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Environmental Protection","Environmental Protection Agency (EPA)","Executive agency funding and structure","Solid waste and recycling","Water quality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Water Quality Investment Act of 2014 - Amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to reauthorize the sewer overflow control grants program through FY2019.</p> <p>Requires a project that receives a grant to be carried out under the same requirements as a project that receives assistance from a state water pollution control revolving fund, unless the state determines the requirements are inconsistent with treating sewer overflow.</p>"
"H.R. 5796",https://www.congress.gov/bill/113th-congress/house-bill/5796,"113th Congress (2013-2014)","State's Choice Act of 2014","Delaney, John K. [Rep.-D-MD-6]",Democratic,12/04/2014,"House - Energy and Commerce","Referred to the Subcommittee on Energy and Power.",12/12/2014,Introduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Environmental Protection","Administrative law and regulatory procedures","Air quality","Climate change and greenhouse gases","Environmental Protection Agency (EPA)","Environmental regulatory procedures","Intergovernmental relations","Sales and excise taxes","State and local government operations","State and local taxation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>State's Choice Act of 2014 - Requires Environmental Protection Agency (EPA) regulations issued under the Clean Air Act on greenhouse gas (GHG) emissions from an existing stationary source to give states the option to impose a carbon tax for those emissions instead of, or in conjunction with, applying a standard of performance.</p> <p>Requires the carbon tax to be an excise tax: (1) on emissions of GHGs, or on a fossil fuel based on emissions of any GHG that will result from the use of the fossil fuel; (2) that is no less than 20 per metric ton of carbon dioxide equivalent in 2015; and (3) that increases in each subsequent year by no less than 4% above inflation.</p> <p>Requires the EPA to: (1) evaluate a state's carbon tax in 2025 to determine whether the tax and other relevant state measures will achieve by the end of 2030 the goals of the regulation that is replaced by the tax, and (2) require the state to increase the tax if it will not achieve those goals.</p> <p>Prohibits availability of the option to impose a carbon tax to states that:</p> <ul> <li>are materially undermining the effectiveness of the tax in decreasing GHG emissions through other policy changes, or </li> <li>that have not complied with any EPA requirement to increase the tax.</li> </ul> <ul> <ul> </ul> </ul> <ul> <ul> </ul> </ul>"
"H.R. 5764",https://www.congress.gov/bill/113th-congress/house-bill/5764,"113th Congress (2013-2014)","Great Lakes Restoration Initiative Act of 2014","Joyce, David P. [Rep.-R-OH-14]",Republican,11/20/2014,"House - Transportation and Infrastructure","Received in the Senate.",12/10/2014,"Passed House","Levin, Sander M. [Rep.-D-MI-9]","Dingell, John D. [Rep.-D-MI-12]","Slaughter, Louise McIntosh [Rep.-D-NY-25]","Kelly, Mike [Rep.-R-PA-3]","Rush, Bobby L. [Rep.-D-IL-1]","Quigley, Mike [Rep.-D-IL-5]","Benishek, Dan [Rep.-R-MI-1]","Miller, Candice S. [Rep.-R-MI-10]","McCollum, Betty [Rep.-D-MN-4]","Nolan, Richard M. [Rep.-D-MN-8]","Gibson, Christopher P. [Rep.-R-NY-19]","Reed, Tom [Rep.-R-NY-23]","Higgins, Brian [Rep.-D-NY-26]","Collins, Chris [Rep.-R-NY-27]","Kaptur, Marcy [Rep.-D-OH-9]","Renacci, James B. [Rep.-R-OH-16]","Moore, Gwen [Rep.-D-WI-4]","Duffy, Sean P. [Rep.-R-WI-7]","Ribble, Reid J. [Rep.-R-WI-8]","Lipinski, Daniel [Rep.-D-IL-3]","Walorski, Jackie [Rep.-R-IN-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,"Environmental Protection","Environmental assessment, monitoring, research","Great Lakes","Hazardous wastes and toxic substances","Lakes and rivers","Pest management","Water quality",Wetlands,"Wildlife conservation and habitat protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)</b></p> <p>Great Lakes Restoration Initiative Act of 2014 - Amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to authorize the Environmental Protection Agency's Great Lakes Restoration Initiative for FY2015-FY2019. </p> <p>Requires that the Initiative carry out programs and projects for Great Lakes protection and restoration. Directs the Initiative to prioritize programs and projects, including: </p> <ul> <li>the remediation of toxic substances and areas of concern;</li> <li> the prevention and control of invasive species and their impacts; </li> <li>the protection and restoration of near-shore health and the prevention and mitigation of nonpoint source pollution (water pollution that comes from many diffuse sources, such as pollution on the ground picked up by rain or snow); </li> <li>habitat and wildlife protection and restoration; and </li> <li>accountability, monitoring, evaluation, communication, and partnership activities.</li> </ul> <p>Prohibits funding made available to implement the Initiative from being used for any water infrastructure activity (other than a green infrastructure project that improves habitat and other ecosystem functions in the Great Lakes) for which funding is made available under the clean water or drinking water state revolving fund program.</p> <p>Requires federal agencies to maintain the base level of funding for their Great Lakes activities without regard to funding under the Initiative and identify new activities to support the environmental goals of the Initiative.</p>"
"H.R. 5753",https://www.congress.gov/bill/113th-congress/house-bill/5753,"113th Congress (2013-2014)","Drinking Water Protection Act","Latta, Robert E. [Rep.-R-OH-5]",Republican,11/20/2014,"House - Energy and Commerce","Referred to the Subcommittee on Environment and the Economy.",11/21/2014,Introduced,"Miller, Candice S. [Rep.-R-MI-10]","Kaptur, Marcy [Rep.-D-OH-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Environmental Protection","Environmental assessment, monitoring, research","Environmental technology","Government information and archives","Hazardous wastes and toxic substances","Health information and medical records","Water quality","Water use and supply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Drinking Water Protection Act - Amends the Safe Drinking Water Act to direct the Environmental Protection Agency (EPA) to develop and submit to Congress a strategic plan for assessing and managing risks associated with cyanotoxins in drinking water provided by public water systems. (Cyanotoxins are naturally occurring toxins produced by cyanobacteria, also known as blue-green algae.)</p> <p>Requires the plan to include steps and time lines to:</p> <ul> <li>evaluate the risk to human health from drinking water contaminated with cyanotoxins;</li> <li> establish, publish, and update a comprehensive list of cyanotoxins that are harmful to human health;</li> <li> summarize the known adverse human health effects of cyanotoxins and the factors that cause cyanobacteria to grow rapidly and make toxins; </li> <li>determine whether to publish health advisories for harmful cyanotoxins and establish relevant guidance; </li> <li>recommend feasible treatment options; and </li> <li>enter into cooperative agreements with, and provide technical assistance to, affected states and public water systems to manage risks associated with cyanotoxins. </li> </ul> <ul> </ul>"
"H.R. 5733",https://www.congress.gov/bill/113th-congress/house-bill/5733,"113th Congress (2013-2014)","Carbon Pollution Transparency Act of 2014","Huffman, Jared [Rep.-D-CA-2]",Democratic,11/18/2014,"House - Rules, Budget","Referred to the Committee on Rules, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/18/2014,Introduced,"Matsui, Doris O. [Rep.-D-CA-6]","Lowenthal, Alan S. [Rep.-D-CA-47]","Blumenauer, Earl [Rep.-D-OR-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Environmental Protection","Budget process","Climate change and greenhouse gases","Legislative rules and procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Carbon Pollution Transparency Act of 2014 - Requires the Director of the Congressional Budget Office (CBO) to calculate a carbon score for legislation. Requires the score to include projected net greenhouse gas emissions that would result from enactment and implementation of a bill or resolution and the appropriation of any amounts authorized in the legislation. Directs CBO to include the carbon score when carrying out provisions of the Congressional Budget Act of 1974 requiring a cost estimate for each bill or resolution reported by any congressional committee except the appropriations committees. </p>"
"H.R. 5665",https://www.congress.gov/bill/113th-congress/house-bill/5665,"113th Congress (2013-2014)","Clear the Air with Congress Act of 2014","Weber, Randy K., Sr. [Rep.-R-TX-14]",Republican,09/18/2014,"House - Energy and Commerce","Referred to the Subcommittee on Energy and Power.",09/19/2014,Introduced,"Johnson, Sam [Rep.-R-TX-3]","Brady, Kevin [Rep.-R-TX-8]","Smith, Lamar [Rep.-R-TX-21]","Farenthold, Blake [Rep.-R-TX-27]","Carter, John R. [Rep.-R-TX-31]","Sessions, Pete [Rep.-R-TX-32]","Mulvaney, Mick [Rep.-R-SC-5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Environmental Protection","Administrative law and regulatory procedures","Air quality","Congressional oversight","Economic performance and conditions","Environmental Protection Agency (EPA)","Environmental regulatory procedures","Government studies and investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Clear the Air with Congress Act of 2014 - Amends the Clean Air Act to require the Environmental Protection Agency (EPA) to submit to Congress a report, made available to the public, before issuing any rule proposing a new or revised: (1) primary national ambient air quality (NAAQ) standard for ozone (for pollutants considered harmful to public health), or (2) secondary NAAQ standard for ozone (for pollutants considered harmful to public welfare).</p> <p>Requires the report to contain:</p> <ul> <li>the proposed standard (in parts per million),</li> <li>all scientific and technical data relied upon to support the proposed standard in a manner sufficient for independent analysis and substantial reproduction of results,</li> <li>a description of all technologies and strategies that may be utilized to achieve the standard and their costs,</li> <li>an economic impact analysis estimating the total costs of the standard,</li> <li>a list of each U.S. area of the United States that would exceed the standard for ozone and thereby receive a nonattainment designation for ozone under the Act, and</li> <li>an identification of the level of ground level ozone in each U.S. county that is naturally occurring or produced outside of the United States.</li> </ul> <p>Requires the EPA to consider the cost and economic and technological feasibility of attaining the standard when establishing a NAAQ standard for ozone.</p> <p>Prohibits a NAAQ standard for ozone from taking effect unless a federal statute is enacted approving it.</p>"
"H.R. 5631",https://www.congress.gov/bill/113th-congress/house-bill/5631,"113th Congress (2013-2014)","To authorize the Central Everglades Planning Project, Florida, and for other purposes.","Murphy, Patrick [Rep.-D-FL-18]",Democratic,09/18/2014,"House - Transportation and Infrastructure","Referred to the Subcommittee on Water Resources and Environment.",09/19/2014,Introduced,"Brown, Corrine [Rep.-D-FL-5]","Posey, Bill [Rep.-R-FL-8]","Jolly, David [Rep.-R-FL-13]","Hastings, Alcee L. [Rep.-D-FL-20]","Deutch, Theodore E. [Rep.-D-FL-21]","Frankel, Lois [Rep.-D-FL-22]","Wasserman Schultz, Debbie [Rep.-D-FL-23]","Garcia, Joe [Rep.-D-FL-26]","Castor, Kathy [Rep.-D-FL-14]","Clawson, Curt [Rep.-R-FL-19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Environmental Protection","Aquatic ecology",Everglades,Florida,"Water quality","Water resources funding","Water use and supply",Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Authorizes funding for environmental restoration activities of the Central Everglades Planning Project (CEPP) in Florida as part of the Comprehensive Everglades Restoration Plan if the Army Corps of Engineers gives approval by December 30, 2015. </p>"
